match_id,date,tournament,surface,best_of,round,player_a,player_b,winner,rank_a,rank_b,svpt_a,svpt_b,first_in_a,first_in_b,first_won_a,first_won_b,second_won_a,second_won_b,ace_a,ace_b,df_a,df_b,bp_saved_a,bp_saved_b,bp_faced_a,bp_faced_b
WTA:2024-1049:294,2024-01-01,Auckland,Hard,3,QF,Elina Svitolina,Marie Bouzkova,A,25.0,36.0,49.0,36.0,30.0,21.0,19.0,12.0,13.0,2.0,3.0,0.0,1.0,0.0,2.0,4.0,3.0,9.0
WTA:2024-1049:295,2024-01-01,Auckland,Hard,3,QF,Xiyu Wang,Diane Parry,A,71.0,76.0,126.0,100.0,91.0,60.0,59.0,41.0,13.0,15.0,4.0,4.0,4.0,3.0,14.0,4.0,18.0,10.0
WTA:2024-1049:296,2024-01-01,Auckland,Hard,3,QF,Emma Navarro,Petra Martic,A,31.0,41.0,60.0,62.0,48.0,32.0,33.0,19.0,3.0,11.0,2.0,7.0,1.0,4.0,3.0,6.0,6.0,11.0
WTA:2024-1049:297,2024-01-01,Auckland,Hard,3,QF,Coco Gauff,Varvara Gracheva,A,3.0,42.0,40.0,46.0,29.0,29.0,21.0,14.0,8.0,6.0,5.0,1.0,1.0,2.0,0.0,2.0,0.0,7.0
WTA:2024-1049:298,2024-01-01,Auckland,Hard,3,SF,Elina Svitolina,Xiyu Wang,A,25.0,71.0,89.0,83.0,62.0,44.0,40.0,32.0,12.0,18.0,6.0,2.0,3.0,4.0,6.0,6.0,10.0,10.0
WTA:2024-1049:299,2024-01-01,Auckland,Hard,3,SF,Coco Gauff,Emma Navarro,A,3.0,31.0,46.0,53.0,30.0,37.0,28.0,18.0,7.0,8.0,10.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0
WTA:2024-1049:300,2024-01-01,Auckland,Hard,3,F,Coco Gauff,Elina Svitolina,A,3.0,25.0,92.0,109.0,60.0,66.0,43.0,38.0,15.0,21.0,3.0,0.0,7.0,3.0,3.0,7.0,6.0,13.0
WTA:2024-800:239,2024-01-01,Brisbane,Hard,3,R64,Kimberly Birrell,Olivia Gadecki,B,115.0,124.0,93.0,65.0,63.0,42.0,38.0,37.0,14.0,10.0,4.0,7.0,7.0,7.0,9.0,0.0,14.0,2.0
WTA:2024-800:240,2024-01-01,Brisbane,Hard,3,R64,Sloane Stephens,Katerina Siniakova,A,44.0,50.0,78.0,61.0,56.0,34.0,34.0,20.0,13.0,14.0,2.0,0.0,2.0,5.0,5.0,0.0,7.0,4.0
WTA:2024-800:243,2024-01-01,Brisbane,Hard,3,R64,Dayana Yastremska,Daria Saville,B,98.0,209.0,61.0,50.0,33.0,31.0,22.0,24.0,9.0,11.0,0.0,4.0,2.0,2.0,7.0,3.0,11.0,3.0
WTA:2024-800:244,2024-01-01,Brisbane,Hard,3,R64,Anna Karolina Schmiedlova,Caroline Dolehide,A,73.0,45.0,89.0,95.0,55.0,69.0,37.0,38.0,16.0,15.0,3.0,7.0,3.0,2.0,3.0,8.0,7.0,13.0
WTA:2024-800:247,2024-01-01,Brisbane,Hard,3,R64,Mirra Andreeva,Diana Shnaider,A,58.0,97.0,47.0,62.0,29.0,40.0,22.0,22.0,12.0,10.0,3.0,1.0,3.0,1.0,1.0,5.0,1.0,9.0
WTA:2024-800:248,2024-01-01,Brisbane,Hard,3,R64,Arina Rodionova,Martina Trevisan,A,113.0,46.0,51.0,61.0,37.0,37.0,26.0,23.0,7.0,5.0,1.0,2.0,1.0,5.0,1.0,9.0,3.0,14.0
WTA:2024-800:251,2024-01-01,Brisbane,Hard,3,R64,Linda Noskova,Timea Babos,A,40.0,192.0,132.0,123.0,76.0,72.0,61.0,57.0,29.0,31.0,5.0,18.0,6.0,4.0,6.0,9.0,7.0,9.0
WTA:2024-800:252,2024-01-01,Brisbane,Hard,3,R64,Viktoriya Tomova,Julia Riera,B,75.0,137.0,54.0,53.0,31.0,33.0,17.0,27.0,13.0,11.0,0.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0
